crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
906	het	True	30	1.0	True	2	1.0	2	0.5	False	1	1.0	2
907	hom	True	18	1.0	True	1	1.0	1	1.0	True	1	1.0	1
909	hom	True	61	1.0	True	1	1.0	1	1.0	True	1	1.0	1
910	het	True	100	1.0	True	2	1.0	2	1.0	True	2	1.0	2
911	het	False	5745	1.0	True	2	1.0	2	1.0	True	2	1.0	2
912	het	True	83	0.9523809523809523	True	2	1.0	2	0.9047619047619048	True	2	1.0	2
913	het	True	28	1.0	True	2	1.0	2	0.5384615384615384	False	1	1.0	2
914	cpx_het	True	358	1.0	True	2	1.0	2	1.0	True	2	1.0	2
915	hom	True	2244	1.0	True	2	1.0	1	1.0	True	1	1.0	1
916	het	True	56	1.0	True	2	1.0	2	1.0	True	2	1.0	2
919	hom	False	34	1.0	True	2	1.0	1	1.0	True	1	1.0	1
920	cpx_het	True	155	1.0	True	2	1.0	2	1.0	True	2	1.0	2
922	cpx_het	True	63	1.0	True	2	1.0	2	0.95	True	2	1.0	2
923	het	True	325	1.0	True	2	1.0	2	1.0	True	2	1.0	2
924	hom	True	120	1.0	True	2	0.9047619047619048	1	1.0	True	1	1.0	1
925	het	False	32	1.0	True	2	1.0	2	0.8947368421052632	True	2	1.0	2
926	hom	False	30	1.0	True	2	0.9333333333333333	1	1.0	True	1	1.0	1
927	cpx_het	True	35	1.0	True	2	1.0	2	0.8125	True	2	1.0	2
928	het	True	42	1.0	True	2	1.0	2	1.0	True	2	1.0	2
929	het	True	45	1.0	True	2	1.0	2	1.0	True	2	1.0	2
930	cpx_het	True	50	1.0	True	2	1.0	2	1.0	True	2	1.0	2
936	het	True	28	1.0	True	2	1.0	2	0.7272727272727273	False	1	1.0	2
937	cpx_het	True	53	0.96	True	2	1.0	2	0.6	False	1	1.0	2
938	het	True	36	1.0	True	2	1.0	2	0.9444444444444444	True	2	1.0	2
939	het	True	29	1.0	True	2	1.0	2	0.6428571428571429	False	1	1.0	2
940	cpx_het	True	52	1.0	True	2	1.0	2	1.0	True	2	1.0	2
941	hom	True	48	1.0	True	2	1.0	1	1.0	True	1	1.0	1
945	het	False	4967	1.0	True	2	1.0	2	0.8620689655172413	True	2	1.0	2
946	het	False	567	1.0	True	2	1.0	2	0.9393939393939394	True	2	1.0	2
